Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,310084,NJ,Chronic_Obstructive_Pulmonary,449,1.1074,24.8,22.4,119,01-JUL-11,30-JUN-14
MEMORIAL HOSPITAL OF SALEM COUNTY,310091,NJ,Acute_Myocardial_infarction,157,0.9596,20.1,21.0,23,01-JUL-11,30-JUN-14
MEMORIAL HOSPITAL OF SALEM COUNTY,310091,NJ,Heart_Faliure,223,1.0649,25.6,24.1,61,01-JUL-11,30-JUN-14
CAPITAL HEALTH SYSTEM-FULD CAMPUS,310092,NJ,Heart_Faliure,205,1.159,25.9,22.3,62,01-JUL-11,30-JUN-14
CAPITAL HEALTH SYSTEM-FULD CAMPUS,310092,NJ,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY,310108,NJ,Chronic_Obstructive_Pulmonary,661,1.2453,24.0,19.2,174,01-JUL-11,30-JUN-14
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,310110,NJ,Pneumonia,472,1.0076,17.9,17.8,85,01-JUL-11,30-JUN-14
SOUTHERN OCEAN MEDICAL CENTER,310113,NJ,Acute_Myocardial_infarction,120,1.0135,21.9,21.6,27,01-JUL-11,30-JUN-14
RUTHERFORD REGIONAL MEDICAL CENTER,340013,NC,Hip_Knee_Surgery,157,0.9891,4.4,4.5,23,01-JUL-11,30-JUN-14
NOVANT HEALTH FORSYTH MEDICAL CENTER,340014,NC,Pneumonia,967,0.9844,17.2,17.4,165,01-JUL-11,30-JUN-14
NOVANT HEALTH ROWAN MEDICAL CENTER,340015,NC,Pneumonia,524,1.0479,17.4,16.6,94,01-JUL-11,30-JUN-14
CENTRAL CAROLINA HOSPITAL,340020,NC,Pneumonia,316,1.0002,16.8,16.8,53,01-JUL-11,30-JUN-14
SAMPSON REGIONAL MEDICAL CENTER,340024,NC,Pneumonia,202,0.9649,17.5,18.2,33,01-JUL-11,30-JUN-14
LENOIR MEMORIAL HOSPITAL,340027,NC,Chronic_Obstructive_Pulmonary,430,0.9972,19.8,19.9,85,01-JUL-11,30-JUN-14
LENOIR MEMORIAL HOSPITAL,340027,NC,Heart_Faliure,546,1.0288,23.7,23.0,131,01-JUL-11,30-JUN-14
CAPE FEAR VALLEY MEDICAL CENTER,340028,NC,Chronic_Obstructive_Pulmonary,1067,1.0322,22.3,21.6,240,01-JUL-11,30-JUN-14
CAROMONT REGIONAL MEDICAL CENTER,340032,NC,Chronic_Obstructive_Pulmonary,758,0.8828,17.1,19.4,121,01-JUL-11,30-JUN-14
CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN,340037,NC,Heart_Faliure,91,1.0554,22.9,21.7,24,01-JUL-11,30-JUN-14
CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN,340037,NC,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
IREDELL MEMORIAL HOSPITAL INC,340039,NC,Chronic_Obstructive_Pulmonary,557,0.9832,19.2,19.6,106,01-JUL-11,30-JUN-14
IREDELL MEMORIAL HOSPITAL INC,340039,NC,Heart_Faliure,466,0.9742,22.0,22.6,101,01-JUL-11,30-JUN-14
CALDWELL MEMORIAL HOSPITAL,340041,NC,Chronic_Obstructive_Pulmonary,280,0.9153,18.6,20.3,46,01-JUL-11,30-JUN-14
ONSLOW MEMORIAL HOSPITAL,340042,NC,Pneumonia,443,1.0591,18.1,17.1,84,01-JUL-11,30-JUN-14
NORTH CAROLINA BAPTIST HOSPITAL,340047,NC,Pneumonia,540,1.094,21.6,19.8,123,01-JUL-11,30-JUN-14
SOUTHEASTERN REGIONAL MEDICAL CENTER,340050,NC,Acute_Myocardial_infarction,291,1.0942,19.7,18.0,62,01-JUL-11,30-JUN-14
SOUTHEASTERN REGIONAL MEDICAL CENTER,340050,NC,Chronic_Obstructive_Pulmonary,828,1.073,23.9,22.3,203,01-JUL-11,30-JUN-14
WATAUGA MEDICAL CENTER,340051,NC,Hip_Knee_Surgery,230,1.1205,5.2,4.6,14,01-JUL-11,30-JUN-14
OSWEGO HOSPITAL,330218,NY,Acute_Myocardial_infarction,106,1.1018,21.5,19.5,28,01-JUL-11,30-JUN-14
OSWEGO HOSPITAL,330218,NY,Pneumonia,284,1.0588,18.4,17.4,56,01-JUL-11,30-JUN-14
WYCKOFF HEIGHTS MEDICAL CENTER,330221,NY,Acute_Myocardial_infarction,68,1.1228,24.3,21.6,23,01-JUL-11,30-JUN-14
SARATOGA HOSPITAL,330222,NY,Chronic_Obstructive_Pulmonary,287,1.0043,19.4,19.3,56,01-JUL-11,30-JUN-14
SARATOGA HOSPITAL,330222,NY,Hip_Knee_Surgery,337,0.9019,4.7,5.2,14,01-JUL-11,30-JUN-14
ST JOSEPH'S MEDICAL CENTER,330006,NY,Acute_Myocardial_infarction,157,0.9748,20.8,21.3,23,01-JUL-11,30-JUN-14
ST JOSEPH'S MEDICAL CENTER,330006,NY,Hip_Knee_Surgery,157,1.0834,8.3,7.6,23,01-JUL-11,30-JUN-14
ALBANY MEDICAL CENTER HOSPITAL,330013,NY,Acute_Myocardial_infarction,399,1.068,17.9,16.8,75,01-JUL-11,30-JUN-14
ALBANY MEDICAL CENTER HOSPITAL,330013,NY,Pneumonia,195,1.1127,19.9,17.9,46,01-JUL-11,30-JUN-14
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",330019,NY,Acute_Myocardial_infarction,65,1.0138,23.4,23.1,16,01-JUL-11,30-JUN-14
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",330019,NY,Heart_Faliure,571,1.1505,25.8,22.5,156,01-JUL-11,30-JUN-14
VASSAR BROTHERS MEDICAL CENTER,330023,NY,Acute_Myocardial_infarction,548,0.9689,15.3,15.7,82,01-JUL-11,30-JUN-14
NASSAU UNIVERSITY MEDICAL CENTER,330027,NY,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
RICHMOND UNIVERSITY MEDICAL CENTER,330028,NY,Chronic_Obstructive_Pulmonary,255,1.1155,24.7,22.1,71,01-JUL-11,30-JUN-14
STILLWATER MEDICAL CENTER,370049,OK,Hip_Knee_Surgery,157,0.803,3.6,4.5,23,01-JUL-11,30-JUN-14
STILLWATER MEDICAL CENTER,370049,OK,Pneumonia,296,1.0074,15.7,15.6,47,01-JUL-11,30-JUN-14
GRADY MEMORIAL HOSPITAL,370054,OK,Heart_Faliure,101,0.9652,19.8,20.5,18,01-JUL-11,30-JUN-14
COMANCHE COUNTY MEMORIAL HOSPITAL,370056,OK,Hip_Knee_Surgery,194,1.3754,7.3,5.3,20,01-JUL-11,30-JUN-14
EAST TEXAS MEDICAL CENTER - FAIRFIELD,450658,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
PARK PLAZA HOSPITAL,450659,TX,Hip_Knee_Surgery,157,0.9079,4.0,4.5,23,01-JUL-11,30-JUN-14
MEDICAL CENTER OF LEWISVILLE,450669,TX,Acute_Myocardial_infarction,100,1.006,15.7,15.6,16,01-JUL-11,30-JUN-14
PLAZA MEDICAL CENTER OF FORT WORTH,450672,TX,Chronic_Obstructive_Pulmonary,283,0.8317,19.1,23.0,41,01-JUL-11,30-JUN-14
"WOMANS HOSPITAL OF TEXAS,THE",450674,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
MEDICAL CENTER OF ARLINGTON,450675,TX,Pneumonia,296,1.0261,18.0,17.5,55,01-JUL-11,30-JUN-14
"SAINT ALPHONSUS MEDICAL CENTER - ONTARIO, INC",380052,OR,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"SAINT ALPHONSUS MEDICAL CENTER - ONTARIO, INC",380052,OR,Pneumonia,223,0.8728,13.3,15.2,21,01-JUL-11,30-JUN-14
SANTIAM MEMORIAL HOSPITAL,380056,OR,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ADVENTIST MEDICAL CENTER,380060,OR,Chronic_Obstructive_Pulmonary,169,0.9472,19.4,20.5,29,01-JUL-11,30-JUN-14
DOCTORS HOSPITAL,450678,TX,Pneumonia,284,1.0096,15.6,15.5,45,01-JUL-11,30-JUN-14
MEMORIAL HERMANN NORTHEAST,450684,TX,Chronic_Obstructive_Pulmonary,414,1.078,22.4,20.8,98,01-JUL-11,30-JUN-14
DALLAS REGIONAL MEDICAL CENTER,450688,TX,Chronic_Obstructive_Pulmonary,180,0.9686,20.7,21.4,35,01-JUL-11,30-JUN-14
DALLAS REGIONAL MEDICAL CENTER,450688,TX,Hip_Knee_Surgery,157,1.0769,5.7,5.3,23,01-JUL-11,30-JUN-14
EL CAMPO MEMORIAL HOSPITAL,450694,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
EL CAMPO MEMORIAL HOSPITAL,450694,TX,Chronic_Obstructive_Pulmonary,157,1.0303,19.8,19.2,23,01-JUL-11,30-JUN-14
NORTH CENTRAL SURGICAL CENTER LLP,670049,TX,Hip_Knee_Surgery,385,0.9952,3.4,3.4,13,01-JUL-11,30-JUN-14
NORTH CENTRAL SURGICAL CENTER LLP,670049,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
SETON MEDICAL CENTER HAYS,670056,TX,Heart_Faliure,164,0.9519,20.6,21.7,31,01-JUL-11,30-JUN-14
EMERUS HOSPITAL,670058,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
EMERUS HOSPITAL,670058,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ST LUKES LAKESIDE HOSPITAL,670059,TX,Hip_Knee_Surgery,362,1.0029,4.7,4.7,17,01-JUL-11,30-JUN-14
SOUTH TEXAS SURGICAL HOSPITAL,670061,TX,Hip_Knee_Surgery,353,1.1023,5.2,4.7,20,01-JUL-11,30-JUN-14
METHODIST MCKINNEY HOSPITAL,670069,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
METHODIST HOSPITAL FOR SURGERY,670073,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
METHODIST WEST HOUSTON HOSPITAL,670077,TX,Chronic_Obstructive_Pulmonary,145,0.9633,20.4,21.2,27,01-JUL-11,30-JUN-14
PHOEBE PUTNEY MEMORIAL HOSPITAL,110007,GA,Pneumonia,521,1.0478,16.7,15.9,90,01-JUL-11,30-JUN-14
TANNER MEDICAL CENTER VILLA RICA,110015,GA,Chronic_Obstructive_Pulmonary,102,0.9862,17.6,17.8,17,01-JUL-11,30-JUN-14
"MEMORIAL HEALTH UNIV MED CEN, INC",110036,GA,Acute_Myocardial_infarction,246,1.1065,15.8,14.3,44,01-JUL-11,30-JUN-14
NORTHRIDGE MEDICAL CENTER,110040,GA,Chronic_Obstructive_Pulmonary,78,1.0125,18.2,17.9,15,01-JUL-11,30-JUN-14
HABERSHAM COUNTY MEDICAL CTR,110041,GA,Heart_Faliure,93,1.0777,23.2,21.5,26,01-JUL-11,30-JUN-14
WELLSTAR PAULDING HOSPITAL,110042,GA,Hip_Knee_Surgery,157,1.0404,4.7,4.5,23,01-JUL-11,30-JUN-14
WEST FLORIDA HOSPITAL,100231,FL,Hip_Knee_Surgery,426,1.1138,6.1,5.5,28,01-JUL-11,30-JUN-14
ANNE BATES LEACH EYE HOSPITAL,100240,FL,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
MEMORIAL HOSPITAL OF CARBONDALE,140164,IL,Hip_Knee_Surgery,514,0.7786,4.4,5.6,18,01-JUL-11,30-JUN-14
JACKSON PARK HOSPITAL,140177,IL,Heart_Faliure,117,1.2269,28.5,23.2,46,01-JUL-11,30-JUN-14
MOUNTAIN VIEW HOSPITAL,130065,ID,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
PUSHMATAHA COUNTY TOWN OF ANTLERS HOSPITAL,370083,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
O U MEDICAL CENTER,370093,OK,Acute_Myocardial_infarction,66,1.0405,16.6,16.0,13,01-JUL-11,30-JUN-14
"SAYRE MEMORIAL HOSPITAL, INC",370103,OK,Heart_Faliure,157,1.0305,20.2,19.6,23,01-JUL-11,30-JUN-14
INTEGRIS SOUTHWEST MEDICAL CENTER,370106,OK,Hip_Knee_Surgery,157,1.0358,8.0,7.8,23,01-JUL-11,30-JUN-14
SEQUOYAH COUNTY-CITY OF SALLISAW HOSPITAL AUTHORIT,370112,OK,Heart_Faliure,61,0.9909,20.5,20.7,12,01-JUL-11,30-JUN-14
INTEGRIS GROVE HOSPITAL,370113,OK,Chronic_Obstructive_Pulmonary,146,1.1198,20.7,18.4,38,01-JUL-11,30-JUN-14
"ST JOHN MEDICAL CENTER, INC",370114,OK,Pneumonia,735,1.0255,16.4,16.0,122,01-JUL-11,30-JUN-14
MEMORIAL HOSPITAL OF TEXAS COUNTY,370138,OK,Pneumonia,81,0.9958,13.9,14.0,11,01-JUL-11,30-JUN-14
ST ANTHONY SHAWNEE HOSPITAL,370149,OK,Hip_Knee_Surgery,157,1.0181,4.7,4.6,23,01-JUL-11,30-JUN-14
ELKVIEW GENERAL HOSPITAL,370153,OK,Hip_Knee_Surgery,157,0.9447,4.6,4.9,23,01-JUL-11,30-JUN-14
PAULS VALLEY HOSPITAL AUTHORITY,370156,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
PAULS VALLEY HOSPITAL AUTHORITY,370156,OK,Chronic_Obstructive_Pulmonary,59,1.0066,17.9,17.8,11,01-JUL-11,30-JUN-14
ROUND ROCK MEDICAL CENTER,450718,TX,Hip_Knee_Surgery,220,1.0286,4.8,4.6,11,01-JUL-11,30-JUN-14
BAYLOR MEDICAL CENTER AT CARROLLTON,450730,TX,Pneumonia,169,1.0046,17.6,17.5,30,01-JUL-11,30-JUN-14
BAYLOR SCOTT AND WHITE MEDICAL CENTER LAKE POINTE,450742,TX,Chronic_Obstructive_Pulmonary,253,1.1028,20.6,18.7,59,01-JUL-11,30-JUN-14
BAYLOR SCOTT AND WHITE MEDICAL CENTER LAKE POINTE,450742,TX,Pneumonia,233,1.1225,18.2,16.2,50,01-JUL-11,30-JUN-14
TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON,450743,TX,Heart_Faliure,269,0.953,20.0,21.0,51,01-JUL-11,30-JUN-14
EAST TEXAS MEDICAL CENTER TRINITY,450749,TX,Chronic_Obstructive_Pulmonary,60,1.0246,20.5,20.0,14,01-JUL-11,30-JUN-14
TOPS SURGICAL SPECIALTY HOSPITAL,450774,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
METHODIST AMBULATORY SURGERY HOSPITAL NW,450780,TX,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAPTIST EMERGENCY HOSPITAL,670078,TX,Chronic_Obstructive_Pulmonary,157,0.9584,11.6,12.1,23,01-JUL-11,30-JUN-14
BAPTIST EMERGENCY HOSPITAL,670078,TX,Pneumonia,157,0.9703,12.1,12.5,23,01-JUL-11,30-JUN-14
"LAKEWAY REGIONAL MEDICAL CENTER, LLC",670079,TX,Chronic_Obstructive_Pulmonary,157,0.9617,18.9,19.6,23,01-JUL-11,30-JUN-14
TEXAS GENERAL HOSPITAL,670083,TX,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,670085,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,670085,TX,Chronic_Obstructive_Pulmonary,157,0.968,17.9,18.5,23,01-JUL-11,30-JUN-14
BAYLOR SCOTT & WHITE EMERGENCY MEDICAL CENTER AT C,670087,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAYLOR SCOTT & WHITE MEDICAL CENTER- COLLEGE STATI,670088,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
NIX COMMUNITY GENERAL HOSPITAL,670089,TX,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
CRESCENT MEDICAL CENTER LANCASTER,670090,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
CRESCENT MEDICAL CENTER LANCASTER,670090,TX,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
WALNUT HILL MEDICAL CENTER,670092,TX,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"ASPIRE BEHAVIORAL HEALTH OF CONROE, LLC",670093,TX,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"ASPIRE BEHAVIORAL HEALTH OF CONROE, LLC",670093,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"BAY AREA REGIONAL MEDICAL CENTER, LLC",670096,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAYLOR EMERGENCY MEDICAL CENTER,670097,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAYLOR EMERGENCY MEDICAL CENTER,670097,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
RESOLUTE HEALTH HOSPITAL,670098,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
EMIL J FREIREICH CANCER CENTER,670099,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
NASON HOSPITAL,390062,PA,Hip_Knee_Surgery,157,0.9369,4.8,5.1,23,01-JUL-11,30-JUN-14
UPMC HAMOT,390063,PA,Pneumonia,415,0.9399,17.1,18.2,67,01-JUL-11,30-JUN-14
GETTYSBURG HOSPITAL,390065,PA,Heart_Faliure,306,1.038,22.5,21.7,71,01-JUL-11,30-JUN-14
GOOD SAMARITAN HOSPITAL,390066,PA,Acute_Myocardial_infarction,259,1.0655,16.1,15.1,45,01-JUL-11,30-JUN-14
PINNACLE HEALTH HOSPITALS,390067,PA,Acute_Myocardial_infarction,523,1.0826,16.6,15.4,91,01-JUL-11,30-JUN-14
PINNACLE HEALTH HOSPITALS,390067,PA,Chronic_Obstructive_Pulmonary,518,1.0288,18.5,18.0,98,01-JUL-11,30-JUN-14
LOWER BUCKS HOSPITAL,390070,PA,Acute_Myocardial_infarction,62,1.0517,18.3,17.4,14,01-JUL-11,30-JUN-14
LOCK HAVEN HOSPITAL,390071,PA,Heart_Faliure,97,1.0249,21.2,20.7,22,01-JUL-11,30-JUN-14
BERWICK HOSPITAL CENTER,390072,PA,Heart_Faliure,149,1.0766,23.3,21.6,39,01-JUL-11,30-JUN-14
BERWICK HOSPITAL CENTER,390072,PA,Pneumonia,98,0.9975,16.5,16.5,16,01-JUL-11,30-JUN-14
UPMC ALTOONA,390073,PA,Chronic_Obstructive_Pulmonary,311,0.9201,18.2,19.8,51,01-JUL-11,30-JUN-14
UPMC ALTOONA,390073,PA,Pneumonia,466,0.8927,16.0,17.9,67,01-JUL-11,30-JUN-14
BRANDYWINE HOSPITAL,390076,PA,Heart_Faliure,348,1.0246,22.6,22.0,80,01-JUL-11,30-JUN-14
ROBERT PACKER HOSPITAL,390079,PA,Chronic_Obstructive_Pulmonary,415,1.0389,20.3,19.6,87,01-JUL-11,30-JUN-14
ROBERT PACKER HOSPITAL,390079,PA,Heart_Faliure,620,1.13,23.8,21.1,155,01-JUL-11,30-JUN-14
ROBERT PACKER HOSPITAL,390079,PA,Hip_Knee_Surgery,594,0.9694,5.0,5.1,29,01-JUL-11,30-JUN-14
SUNBURY COMMUNITY HOSPITAL,390084,PA,Hip_Knee_Surgery,157,0.9811,5.3,5.4,23,01-JUL-11,30-JUN-14
CHOCTAW NATION HEALTH SERVICES AUTHORITY,370172,OK,Pneumonia,157,1.0093,14.9,14.8,23,01-JUL-11,30-JUN-14
MEMORIAL HOSPITAL,370178,OK,Chronic_Obstructive_Pulmonary,231,0.9649,19.3,20.0,42,01-JUL-11,30-JUN-14
CHICKASAW NATION MEDICAL CENTER,370180,OK,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
HILLCREST HOSPITAL HENRYETTA,370183,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
NORTHWEST SURGICAL HOSPITAL,370192,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"LAKESIDE WOMEN'S HOSPITAL, A MEMBER OF INTEGRIS HE",370199,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"LAKESIDE WOMEN'S HOSPITAL, A MEMBER OF INTEGRIS HE",370199,OK,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"COMMUNITY HOSPITAL, LLC",370203,OK,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
LINDSAY MUNICIPAL HOSPITAL,370214,OK,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
METHODIST AMBULATORY SURGERY HOSPITAL NW,450780,TX,Hip_Knee_Surgery,157,0.8242,3.3,4.0,23,01-JUL-11,30-JUN-14
"CORPUS CHRISTI MEDICAL CENTER,THE",450788,TX,Pneumonia,389,0.9112,15.7,17.2,55,01-JUL-11,30-JUN-14
CHRISTUS ST MICHAEL HEALTH SYSTEM,450801,TX,Hip_Knee_Surgery,528,1.402,7.3,5.2,45,01-JUL-11,30-JUN-14
DOCTORS HOSPITAL TIDWELL,450803,TX,Acute_Myocardial_infarction,157,0.9938,21.4,21.5,23,01-JUL-11,30-JUN-14
TEXAS ORTHOPEDIC HOSPITAL,450804,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
TEXAS ORTHOPEDIC HOSPITAL,450804,TX,Hip_Knee_Surgery,1318,0.7095,2.9,4.1,32,01-JUL-11,30-JUN-14
NORTHWEST HILLS SURGICAL HOSPITAL,450808,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
METHODIST SUGAR LAND HOSPITAL,450820,TX,Acute_Myocardial_infarction,218,0.9704,16.8,17.3,35,01-JUL-11,30-JUN-14
METHODIST SUGAR LAND HOSPITAL,450820,TX,Chronic_Obstructive_Pulmonary,438,0.9316,19.9,21.3,82,01-JUL-11,30-JUN-14
ENNIS REGIONAL MEDICAL CENTER,450833,TX,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
METHODIST WILLOWBROOK HOSPITAL,450844,TX,Heart_Faliure,380,1.0824,26.1,24.1,104,01-JUL-11,30-JUN-14
EL PASO SPECIALTY HOSPITAL,450845,TX,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
EL PASO SPECIALTY HOSPITAL,450845,TX,Hip_Knee_Surgery,386,0.982,4.2,4.3,16,01-JUL-11,30-JUN-14
ST. MARY'S HOSPITAL,30010,AZ,Acute_Myocardial_infarction,158,0.9083,13.8,15.2,17,01-JUL-11,30-JUN-14
EAST ALABAMA MEDICAL CENTER,10029,AL,Hip_Knee_Surgery,655,1.2111,5.4,4.5,39,01-JUL-11,30-JUN-14
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,Acute_Myocardial_infarction,101,0.9528,15.3,16.1,13,01-JUL-11,30-JUN-14
ANDALUSIA REGIONAL HOSPITAL,10036,AL,Chronic_Obstructive_Pulmonary,250,0.9901,18.7,18.9,46,01-JUL-11,30-JUN-14
BULLOCK COUNTY HOSPITAL,10110,AL,Heart_Faliure,157,0.979,19.5,19.9,23,01-JUL-11,30-JUN-14
ABRAZO ARROWHEAD CAMPUS,30094,AZ,Heart_Faliure,151,1.0016,22.5,22.4,34,01-JUL-11,30-JUN-14
SANTA CLARA VALLEY MEDICAL CENTER,50038,CA,Heart_Faliure,222,0.997,20.3,20.4,45,01-JUL-11,30-JUN-14
ST JOSEPH HOSPITAL,50069,CA,Acute_Myocardial_infarction,222,0.8132,13.7,16.9,20,01-JUL-11,30-JUN-14
MARIAN REGIONAL MEDICAL CENTER,50107,CA,Acute_Myocardial_infarction,166,0.9294,14.2,15.3,20,01-JUL-11,30-JUN-14
PENN HIGHLANDS DUBOIS,390086,PA,Pneumonia,185,0.9867,17.8,18.0,32,01-JUL-11,30-JUN-14
WESTERN PENNSYLVANIA HOSPITAL,390090,PA,Acute_Myocardial_infarction,157,0.962,16.0,16.6,23,01-JUL-11,30-JUN-14
UPMC NORTHWEST,390091,PA,Chronic_Obstructive_Pulmonary,399,0.9949,18.4,18.5,73,01-JUL-11,30-JUN-14
CLARION HOSPITAL,390093,PA,Acute_Myocardial_infarction,157,1.0379,18.7,18.0,23,01-JUL-11,30-JUN-14
ST JOSEPH MEDICAL CENTER,390096,PA,Pneumonia,190,0.9761,17.7,18.1,32,01-JUL-11,30-JUN-14
HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,390097,PA,Hip_Knee_Surgery,363,0.933,4.8,5.1,16,01-JUL-11,30-JUN-14
UPMC ST MARGARET,390102,PA,Hip_Knee_Surgery,379,1.0461,5.1,4.8,20,01-JUL-11,30-JUN-14
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,PA,Acute_Myocardial_infarction,154,0.9913,17.2,17.3,26,01-JUL-11,30-JUN-14
UPMC BEDFORD MEMORIAL,390117,PA,Pneumonia,112,0.9744,15.8,16.2,16,01-JUL-11,30-JUN-14
OKLAHOMA HEART HOSPITAL,370215,OK,Heart_Faliure,1038,0.8234,17.9,21.8,175,01-JUL-11,30-JUN-14
"SAINT FRANCIS HOSPITAL SOUTH, LLC",370218,OK,Chronic_Obstructive_Pulmonary,138,1.1032,20.4,18.5,35,01-JUL-11,30-JUN-14
SUMMIT MEDICAL CENTER,370225,OK,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ST JOHN OWASSO,370227,OK,Pneumonia,124,0.9324,13.2,14.2,12,01-JUL-11,30-JUN-14
ALLIANCEHEALTH SEMINOLE,370229,OK,Chronic_Obstructive_Pulmonary,63,0.987,18.9,19.1,11,01-JUL-11,30-JUN-14
"OKLAHOMA HEART HOSPITAL SOUTH, LLC",370234,OK,Chronic_Obstructive_Pulmonary,153,1.0128,21.6,21.4,34,01-JUL-11,30-JUN-14
"OKLAHOMA HEART HOSPITAL SOUTH, LLC",370234,OK,Heart_Faliure,513,0.8962,20.1,22.5,97,01-JUL-11,30-JUN-14
"OKLAHOMA HEART HOSPITAL SOUTH, LLC",370234,OK,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"ST JOHN BROKEN ARROW, INC",370235,OK,Pneumonia,157,0.9417,12.8,13.5,23,01-JUL-11,30-JUN-14
